id,Name,home,price,email,properties
10043,eren,4314,3283.69,.@notsend.com,"{""Animals"":""no"",""Bedrooms"":'2',""Garage"":'maybe',""Wc"":'1',""kitchen"":'1',""for"":'married'}"
10044,Luxory House Penhose li`duwhat,7032,398.09,.@notsend.com,"{""Animals"":""yes"",""Bedrooms"":'4',""Garage"":'no',""Wc"":'4',""kitchen"":'3',""for"":'single'}"
10045,micasa,6482,1365.3,.@notsend.com,"{""Animals"":""yes"",""Bedrooms"":'4',""Garage"":'no',""Wc"":'4',""kitchen"":'3',""for"":'single'}"
10046,casa linda,8741,1428.38,.@notsend.com,"{""Animals"":""yes"",""Bedrooms"":'4',""Garage"":'no',""Wc"":'4',""kitchen"":'3',""for"":'single'}"
10047,casa fea,2873,3203.61,.@notsend.com,"{""Animals"":""yes"",""Bedrooms"":'2',""Garage"":'yes',""Wc"":'1',""kitchen"":'1',""for"":'married'}"
10048,Luxory House Penhose li`duwhat,2220,1166.31,.@notsend.com,"{""Animals"":""yes"",""Bedrooms"":'1',""Garage"":'no',""Wc"":'1/2',""kitchen"":'12',""for"":'single'}"
10049,micasa,2126,5685.56,.@notsend.com,"{""Animals"":""no"",""Bedrooms"":'2',""Garage"":'maybe',""Wc"":'1',""kitchen"":'1',""for"":'married'}"
10050,eren,5562,30.43,.@notsend.com,"{""Animals"":""no"",""Bedrooms"":'2',""Garage"":'maybe',""Wc"":'1',""kitchen"":'1',""for"":'married'}"
10051,casa linda,2494,8674.6,.@notsend.com,"{""Animals"":""yes"",""Bedrooms"":'2',""Garage"":'yes',""Wc"":'1',""kitchen"":'1',""for"":'married'}"
10052,casa linda,505,1539.75,.@notsend.com,"{""Animals"":""yes"",""Bedrooms"":'1',""Garage"":'no',""Wc"":'1/2',""kitchen"":'12',""for"":'single'}"
10053,casa fea,9748,9177.33,.@notsend.com,"{""Animals"":""yes"",""Bedrooms"":'4',""Garage"":'no',""Wc"":'4',""kitchen"":'3',""for"":'single'}"
10054,casa cara,8615,160.59,.@notsend.com,"{""Animals"":""yes"",""Bedrooms"":'2',""Garage"":'yes',""Wc"":'1',""kitchen"":'1',""for"":'married'}"
10055,casa cara,6086,373.99,.@notsend.com,"{""Animals"":""yes"",""Bedrooms"":'4',""Garage"":'no',""Wc"":'4',""kitchen"":'3',""for"":'single'}"
10056,casa fea,1456,6627.75,.@notsend.com,"{""Animals"":""yes"",""Bedrooms"":'1',""Garage"":'no',""Wc"":'1/2',""kitchen"":'12',""for"":'single'}"
10057,Luxory House Penhose li`duwhat,4776,1493.17,.@notsend.com,"{""Animals"":""yes"",""Bedrooms"":'2',""Garage"":'yes',""Wc"":'1',""kitchen"":'1',""for"":'married'}"
10058,eren,2656,3967.67,.@notsend.com,"{""Animals"":""yes"",""Bedrooms"":'1',""Garage"":'no',""Wc"":'1/2',""kitchen"":'12',""for"":'single'}"
10059,casa cara,167,694.13,.@notsend.com,"{""Animals"":""no"",""Bedrooms"":'2',""Garage"":'maybe',""Wc"":'1',""kitchen"":'1',""for"":'married'}"
10060,micasa,3496,2484.56,.@notsend.com,"{""Animals"":""no"",""Bedrooms"":'2',""Garage"":'maybe',""Wc"":'1',""kitchen"":'1',""for"":'married'}"
10061,casa linda,3503,1886.51,.@notsend.com,"{""Animals"":""no"",""Bedrooms"":'2',""Garage"":'maybe',""Wc"":'1',""kitchen"":'1',""for"":'married'}"
10062,Luxory House Penhose li`duwhat,3374,4445.58,.@notsend.com,"{""Animals"":""yes"",""Bedrooms"":'1',""Garage"":'no',""Wc"":'1/2',""kitchen"":'12',""for"":'single'}"
10063,casa cara,5135,3552.15,.@notsend.com,"{""Animals"":""yes"",""Bedrooms"":'2',""Garage"":'yes',""Wc"":'1',""kitchen"":'1',""for"":'married'}"
10064,Luxory House Penhose li`duwhat,3002,9807.17,.@notsend.com,"{""Animals"":""yes"",""Bedrooms"":'2',""Garage"":'yes',""Wc"":'1',""kitchen"":'1',""for"":'married'}"
10065,micasa,3395,4921.41,.@notsend.com,"{""Animals"":""yes"",""Bedrooms"":'2',""Garage"":'yes',""Wc"":'1',""kitchen"":'1',""for"":'married'}"
10066,casa fea,7647,9901.89,.@notsend.com,"{""Animals"":""yes"",""Bedrooms"":'2',""Garage"":'yes',""Wc"":'1',""kitchen"":'1',""for"":'married'}"
10067,micasa,5686,7553.83,.@notsend.com,"{""Animals"":""yes"",""Bedrooms"":'2',""Garage"":'yes',""Wc"":'1',""kitchen"":'1',""for"":'married'}"
10068,eren,9804,6204.81,.@notsend.com,"{""Animals"":""no"",""Bedrooms"":'2',""Garage"":'maybe',""Wc"":'1',""kitchen"":'1',""for"":'married'}"
10069,casa cara,3359,1820.7,.@notsend.com,"{""Animals"":""no"",""Bedrooms"":'2',""Garage"":'maybe',""Wc"":'1',""kitchen"":'1',""for"":'married'}"
10070,Luxory House Penhose li`duwhat,3412,3485.3,.@notsend.com,"{""Animals"":""no"",""Bedrooms"":'2',""Garage"":'maybe',""Wc"":'1',""kitchen"":'1',""for"":'married'}"
10071,casa linda,5909,234.32,.@notsend.com,"{""Animals"":""yes"",""Bedrooms"":'1',""Garage"":'no',""Wc"":'1/2',""kitchen"":'12',""for"":'single'}"
10072,casa linda,1214,10000.53,.@notsend.com,"{""Animals"":""yes"",""Bedrooms"":'2',""Garage"":'yes',""Wc"":'1',""kitchen"":'1',""for"":'married'}"
10073,casa cara,9867,6401.54,.@notsend.com,"{""Animals"":""yes"",""Bedrooms"":'4',""Garage"":'no',""Wc"":'4',""kitchen"":'3',""for"":'single'}"
10074,Luxory House Penhose li`duwhat,5614,7828.3,.@notsend.com,"{""Animals"":""no"",""Bedrooms"":'2',""Garage"":'maybe',""Wc"":'1',""kitchen"":'1',""for"":'married'}"
10075,Luxory House Penhose li`duwhat,5680,1573.18,.@notsend.com,"{""Animals"":""yes"",""Bedrooms"":'4',""Garage"":'no',""Wc"":'4',""kitchen"":'3',""for"":'single'}"
10076,micasa,8733,7666.15,.@notsend.com,"{""Animals"":""yes"",""Bedrooms"":'1',""Garage"":'no',""Wc"":'1/2',""kitchen"":'12',""for"":'single'}"
10077,casa cara,9187,3042.39,.@notsend.com,"{""Animals"":""no"",""Bedrooms"":'2',""Garage"":'maybe',""Wc"":'1',""kitchen"":'1',""for"":'married'}"
10078,casa fea,9654,377.43,.@notsend.com,"{""Animals"":""yes"",""Bedrooms"":'4',""Garage"":'no',""Wc"":'4',""kitchen"":'3',""for"":'single'}"
10079,Luxory House Penhose li`duwhat,3836,7341.09,.@notsend.com,"{""Animals"":""no"",""Bedrooms"":'2',""Garage"":'maybe',""Wc"":'1',""kitchen"":'1',""for"":'married'}"
10080,casa cara,8326,9709.65,.@notsend.com,"{""Animals"":""yes"",""Bedrooms"":'4',""Garage"":'no',""Wc"":'4',""kitchen"":'3',""for"":'single'}"
10081,casa cara,973,6687.15,.@notsend.com,"{""Animals"":""yes"",""Bedrooms"":'1',""Garage"":'no',""Wc"":'1/2',""kitchen"":'12',""for"":'single'}"
10082,casa fea,3692,6711.41,.@notsend.com,"{""Animals"":""no"",""Bedrooms"":'2',""Garage"":'maybe',""Wc"":'1',""kitchen"":'1',""for"":'married'}"
10083,casa linda,105,5990.34,.@notsend.com,"{""Animals"":""yes"",""Bedrooms"":'1',""Garage"":'no',""Wc"":'1/2',""kitchen"":'12',""for"":'single'}"
10084,Luxory House Penhose li`duwhat,2394,7020.5,.@notsend.com,"{""Animals"":""yes"",""Bedrooms"":'2',""Garage"":'yes',""Wc"":'1',""kitchen"":'1',""for"":'married'}"
10085,casa cara,6308,1780.91,.@notsend.com,"{""Animals"":""no"",""Bedrooms"":'2',""Garage"":'maybe',""Wc"":'1',""kitchen"":'1',""for"":'married'}"
10086,casa linda,3336,8159.52,.@notsend.com,"{""Animals"":""yes"",""Bedrooms"":'4',""Garage"":'no',""Wc"":'4',""kitchen"":'3',""for"":'single'}"
10087,Luxory House Penhose li`duwhat,3550,5379.61,.@notsend.com,"{""Animals"":""yes"",""Bedrooms"":'1',""Garage"":'no',""Wc"":'1/2',""kitchen"":'12',""for"":'single'}"
10088,casa fea,5197,2019.44,.@notsend.com,"{""Animals"":""yes"",""Bedrooms"":'1',""Garage"":'no',""Wc"":'1/2',""kitchen"":'12',""for"":'single'}"
10089,casa cara,8795,1290.89,.@notsend.com,"{""Animals"":""no"",""Bedrooms"":'2',""Garage"":'maybe',""Wc"":'1',""kitchen"":'1',""for"":'married'}"
10090,Luxory House Penhose li`duwhat,7162,7027.4,.@notsend.com,"{""Animals"":""yes"",""Bedrooms"":'2',""Garage"":'yes',""Wc"":'1',""kitchen"":'1',""for"":'married'}"
10091,micasa,3743,460.31,.@notsend.com,"{""Animals"":""yes"",""Bedrooms"":'2',""Garage"":'yes',""Wc"":'1',""kitchen"":'1',""for"":'married'}"
10092,Luxory House Penhose li`duwhat,7335,2439.43,.@notsend.com,"{""Animals"":""no"",""Bedrooms"":'2',""Garage"":'maybe',""Wc"":'1',""kitchen"":'1',""for"":'married'}"
10093,casa fea,3011,7282.47,.@notsend.com,"{""Animals"":""yes"",""Bedrooms"":'4',""Garage"":'no',""Wc"":'4',""kitchen"":'3',""for"":'single'}"
10094,Luxory House Penhose li`duwhat,5987,7237.9,.@notsend.com,"{""Animals"":""yes"",""Bedrooms"":'1',""Garage"":'no',""Wc"":'1/2',""kitchen"":'12',""for"":'single'}"
10095,casa linda,6018,4854.35,.@notsend.com,"{""Animals"":""yes"",""Bedrooms"":'1',""Garage"":'no',""Wc"":'1/2',""kitchen"":'12',""for"":'single'}"
10096,casa fea,6483,2192.91,.@notsend.com,"{""Animals"":""yes"",""Bedrooms"":'2',""Garage"":'yes',""Wc"":'1',""kitchen"":'1',""for"":'married'}"
10097,casa fea,884,2205.09,.@notsend.com,"{""Animals"":""yes"",""Bedrooms"":'1',""Garage"":'no',""Wc"":'1/2',""kitchen"":'12',""for"":'single'}"
10098,casa fea,4017,4269.45,.@notsend.com,"{""Animals"":""yes"",""Bedrooms"":'4',""Garage"":'no',""Wc"":'4',""kitchen"":'3',""for"":'single'}"
10099,micasa,3019,3204.65,.@notsend.com,"{""Animals"":""yes"",""Bedrooms"":'2',""Garage"":'yes',""Wc"":'1',""kitchen"":'1',""for"":'married'}"
10100,casa linda,3818,4007.87,.@notsend.com,"{""Animals"":""yes"",""Bedrooms"":'1',""Garage"":'no',""Wc"":'1/2',""kitchen"":'12',""for"":'single'}"
10101,micasa,5921,6101.62,.@notsend.com,"{""Animals"":""yes"",""Bedrooms"":'2',""Garage"":'yes',""Wc"":'1',""kitchen"":'1',""for"":'married'}"
10102,eren,5035,8071.05,.@notsend.com,"{""Animals"":""yes"",""Bedrooms"":'1',""Garage"":'no',""Wc"":'1/2',""kitchen"":'12',""for"":'single'}"
10103,casa cara,3224,4374.95,.@notsend.com,"{""Animals"":""yes"",""Bedrooms"":'2',""Garage"":'yes',""Wc"":'1',""kitchen"":'1',""for"":'married'}"
10104,casa cara,3969,7914.39,.@notsend.com,"{""Animals"":""yes"",""Bedrooms"":'2',""Garage"":'yes',""Wc"":'1',""kitchen"":'1',""for"":'married'}"
10105,micasa,9326,1857.45,.@notsend.com,"{""Animals"":""yes"",""Bedrooms"":'2',""Garage"":'yes',""Wc"":'1',""kitchen"":'1',""for"":'married'}"
10106,casa linda,2143,7218.35,.@notsend.com,"{""Animals"":""yes"",""Bedrooms"":'4',""Garage"":'no',""Wc"":'4',""kitchen"":'3',""for"":'single'}"
10107,micasa,8857,3412.74,.@notsend.com,"{""Animals"":""yes"",""Bedrooms"":'2',""Garage"":'yes',""Wc"":'1',""kitchen"":'1',""for"":'married'}"
10108,eren,3031,8432.28,.@notsend.com,"{""Animals"":""yes"",""Bedrooms"":'1',""Garage"":'no',""Wc"":'1/2',""kitchen"":'12',""for"":'single'}"
10109,casa linda,6475,8108.98,.@notsend.com,"{""Animals"":""yes"",""Bedrooms"":'2',""Garage"":'yes',""Wc"":'1',""kitchen"":'1',""for"":'married'}"
10110,micasa,1006,2933.22,.@notsend.com,"{""Animals"":""yes"",""Bedrooms"":'2',""Garage"":'yes',""Wc"":'1',""kitchen"":'1',""for"":'married'}"
10111,micasa,6151,2789.34,.@notsend.com,"{""Animals"":""yes"",""Bedrooms"":'1',""Garage"":'no',""Wc"":'1/2',""kitchen"":'12',""for"":'single'}"
10112,Luxory House Penhose li`duwhat,3697,4171.77,.@notsend.com,"{""Animals"":""no"",""Bedrooms"":'2',""Garage"":'maybe',""Wc"":'1',""kitchen"":'1',""for"":'married'}"
10113,casa linda,1726,4580.49,.@notsend.com,"{""Animals"":""yes"",""Bedrooms"":'2',""Garage"":'yes',""Wc"":'1',""kitchen"":'1',""for"":'married'}"
10114,eren,837,4985.39,.@notsend.com,"{""Animals"":""no"",""Bedrooms"":'2',""Garage"":'maybe',""Wc"":'1',""kitchen"":'1',""for"":'married'}"
10115,micasa,94,6987.92,.@notsend.com,"{""Animals"":""no"",""Bedrooms"":'2',""Garage"":'maybe',""Wc"":'1',""kitchen"":'1',""for"":'married'}"
10116,micasa,817,9613.71,.@notsend.com,"{""Animals"":""no"",""Bedrooms"":'2',""Garage"":'maybe',""Wc"":'1',""kitchen"":'1',""for"":'married'}"
10117,casa cara,6643,1219.85,.@notsend.com,"{""Animals"":""yes"",""Bedrooms"":'2',""Garage"":'yes',""Wc"":'1',""kitchen"":'1',""for"":'married'}"
10118,casa linda,5169,2397.55,.@notsend.com,"{""Animals"":""yes"",""Bedrooms"":'1',""Garage"":'no',""Wc"":'1/2',""kitchen"":'12',""for"":'single'}"
10119,eren,4769,6016.64,.@notsend.com,"{""Animals"":""yes"",""Bedrooms"":'1',""Garage"":'no',""Wc"":'1/2',""kitchen"":'12',""for"":'single'}"
10120,micasa,38,1589.62,.@notsend.com,"{""Animals"":""yes"",""Bedrooms"":'1',""Garage"":'no',""Wc"":'1/2',""kitchen"":'12',""for"":'single'}"
10121,micasa,8618,391.99,.@notsend.com,"{""Animals"":""yes"",""Bedrooms"":'2',""Garage"":'yes',""Wc"":'1',""kitchen"":'1',""for"":'married'}"
10122,casa linda,8409,1292.03,.@notsend.com,"{""Animals"":""yes"",""Bedrooms"":'1',""Garage"":'no',""Wc"":'1/2',""kitchen"":'12',""for"":'single'}"
10123,Luxory House Penhose li`duwhat,8745,6889.75,.@notsend.com,"{""Animals"":""yes"",""Bedrooms"":'4',""Garage"":'no',""Wc"":'4',""kitchen"":'3',""for"":'single'}"
10124,eren,3440,100.58,.@notsend.com,"{""Animals"":""yes"",""Bedrooms"":'2',""Garage"":'yes',""Wc"":'1',""kitchen"":'1',""for"":'married'}"
10125,casa fea,6937,4594.34,.@notsend.com,"{""Animals"":""yes"",""Bedrooms"":'2',""Garage"":'yes',""Wc"":'1',""kitchen"":'1',""for"":'married'}"
10126,Luxory House Penhose li`duwhat,426,2521.55,.@notsend.com,"{""Animals"":""yes"",""Bedrooms"":'4',""Garage"":'no',""Wc"":'4',""kitchen"":'3',""for"":'single'}"
10127,micasa,2569,6057.79,.@notsend.com,"{""Animals"":""no"",""Bedrooms"":'2',""Garage"":'maybe',""Wc"":'1',""kitchen"":'1',""for"":'married'}"
10128,eren,6816,3651.18,.@notsend.com,"{""Animals"":""no"",""Bedrooms"":'2',""Garage"":'maybe',""Wc"":'1',""kitchen"":'1',""for"":'married'}"
10129,casa cara,4225,6518.2,.@notsend.com,"{""Animals"":""yes"",""Bedrooms"":'2',""Garage"":'yes',""Wc"":'1',""kitchen"":'1',""for"":'married'}"
10130,casa cara,9171,3788.32,.@notsend.com,"{""Animals"":""yes"",""Bedrooms"":'2',""Garage"":'yes',""Wc"":'1',""kitchen"":'1',""for"":'married'}"
10131,casa fea,7508,8691.39,.@notsend.com,"{""Animals"":""yes"",""Bedrooms"":'4',""Garage"":'no',""Wc"":'4',""kitchen"":'3',""for"":'single'}"
10132,micasa,5052,5931.57,.@notsend.com,"{""Animals"":""no"",""Bedrooms"":'2',""Garage"":'maybe',""Wc"":'1',""kitchen"":'1',""for"":'married'}"
10133,casa fea,976,8914.79,.@notsend.com,"{""Animals"":""no"",""Bedrooms"":'2',""Garage"":'maybe',""Wc"":'1',""kitchen"":'1',""for"":'married'}"
10134,micasa,2799,3872.43,.@notsend.com,"{""Animals"":""no"",""Bedrooms"":'2',""Garage"":'maybe',""Wc"":'1',""kitchen"":'1',""for"":'married'}"
10135,Luxory House Penhose li`duwhat,9171,9056.16,.@notsend.com,"{""Animals"":""yes"",""Bedrooms"":'4',""Garage"":'no',""Wc"":'4',""kitchen"":'3',""for"":'single'}"
10136,casa linda,6091,2441.24,.@notsend.com,"{""Animals"":""yes"",""Bedrooms"":'2',""Garage"":'yes',""Wc"":'1',""kitchen"":'1',""for"":'married'}"
10137,micasa,8772,9011.91,.@notsend.com,"{""Animals"":""yes"",""Bedrooms"":'1',""Garage"":'no',""Wc"":'1/2',""kitchen"":'12',""for"":'single'}"
10138,casa linda,5284,2060.57,.@notsend.com,"{""Animals"":""yes"",""Bedrooms"":'4',""Garage"":'no',""Wc"":'4',""kitchen"":'3',""for"":'single'}"
10139,Luxory House Penhose li`duwhat,930,998.29,.@notsend.com,"{""Animals"":""yes"",""Bedrooms"":'2',""Garage"":'yes',""Wc"":'1',""kitchen"":'1',""for"":'married'}"
10140,micasa,1359,1271.02,.@notsend.com,"{""Animals"":""yes"",""Bedrooms"":'2',""Garage"":'yes',""Wc"":'1',""kitchen"":'1',""for"":'married'}"
10141,eren,5180,238.59,.@notsend.com,"{""Animals"":""yes"",""Bedrooms"":'2',""Garage"":'yes',""Wc"":'1',""kitchen"":'1',""for"":'married'}"
10142,micasa,6075,5425.09,.@notsend.com,"{""Animals"":""no"",""Bedrooms"":'2',""Garage"":'maybe',""Wc"":'1',""kitchen"":'1',""for"":'married'}"
10143,casa linda,3211,2200.71,.@notsend.com,"{""Animals"":""no"",""Bedrooms"":'2',""Garage"":'maybe',""Wc"":'1',""kitchen"":'1',""for"":'married'}"
10144,eren,179,8874.6,.@notsend.com,"{""Animals"":""yes"",""Bedrooms"":'1',""Garage"":'no',""Wc"":'1/2',""kitchen"":'12',""for"":'single'}"
10145,eren,299,7675.33,.@notsend.com,"{""Animals"":""yes"",""Bedrooms"":'4',""Garage"":'no',""Wc"":'4',""kitchen"":'3',""for"":'single'}"
10146,micasa,444,8718.5,.@notsend.com,"{""Animals"":""no"",""Bedrooms"":'2',""Garage"":'maybe',""Wc"":'1',""kitchen"":'1',""for"":'married'}"
10147,casa fea,375,4306.15,.@notsend.com,"{""Animals"":""yes"",""Bedrooms"":'1',""Garage"":'no',""Wc"":'1/2',""kitchen"":'12',""for"":'single'}"
10148,casa fea,6634,1969.34,.@notsend.com,"{""Animals"":""no"",""Bedrooms"":'2',""Garage"":'maybe',""Wc"":'1',""kitchen"":'1',""for"":'married'}"
10149,eren,5407,2514.45,.@notsend.com,"{""Animals"":""yes"",""Bedrooms"":'2',""Garage"":'yes',""Wc"":'1',""kitchen"":'1',""for"":'married'}"
10150,micasa,1240,5153.93,.@notsend.com,"{""Animals"":""yes"",""Bedrooms"":'4',""Garage"":'no',""Wc"":'4',""kitchen"":'3',""for"":'single'}"
10151,casa linda,5052,8758.1,.@notsend.com,"{""Animals"":""no"",""Bedrooms"":'2',""Garage"":'maybe',""Wc"":'1',""kitchen"":'1',""for"":'married'}"
10152,micasa,4993,6262.9,.@notsend.com,"{""Animals"":""yes"",""Bedrooms"":'1',""Garage"":'no',""Wc"":'1/2',""kitchen"":'12',""for"":'single'}"
10153,eren,3671,711.82,.@notsend.com,"{""Animals"":""yes"",""Bedrooms"":'4',""Garage"":'no',""Wc"":'4',""kitchen"":'3',""for"":'single'}"
10154,micasa,4306,6241.13,.@notsend.com,"{""Animals"":""yes"",""Bedrooms"":'2',""Garage"":'yes',""Wc"":'1',""kitchen"":'1',""for"":'married'}"
10155,eren,5486,894.23,.@notsend.com,"{""Animals"":""yes"",""Bedrooms"":'2',""Garage"":'yes',""Wc"":'1',""kitchen"":'1',""for"":'married'}"
10156,eren,8067,2858.39,.@notsend.com,"{""Animals"":""yes"",""Bedrooms"":'2',""Garage"":'yes',""Wc"":'1',""kitchen"":'1',""for"":'married'}"
